 authid |   name    |                                      name                                       | count 
  21694 | Yan Zhang | ICIC (2)                                                                        |     3
  21694 | Yan Zhang | TRIDENTCOM                                                                      |     1
   4040 | Wei Liu   | J. Computational Applied Mathematics                                            |     5
  21694 | Yan Zhang | Australian Joint Conference on Artificial Intelligence                          |     4
   6036 | Wei Wang  | CSO (2)                                                                         |     1
   4040 | Wei Liu   | ISCSCT (2)                                                                      |     3
  21694 | Yan Zhang | WPMC                                                                            |     1
   4040 | Wei Liu   | ATC                                                                             |     1
   4040 | Wei Liu   | ChinaGrid                                                                       |     1
   6036 | Wei Wang  | ICHIT                                                                           |     1
   6036 | Wei Wang  | CIBCB                                                                           |     1
   4040 | Wei Liu   | Mobidata@MobiHoc                                                                |     1
   6036 | Wei Wang  | AMIA                                                                            |     2
   4040 | Wei Liu   | DEXA Workshops                                                                  |     1
  21694 | Yan Zhang | ICIS                                                                            |     3
   6036 | Wei Wang  | INFOCOM                                                                         |     3
  21694 | Yan Zhang | FMCAD                                                                           |     2
   4040 | Wei Liu   | RSCTC                                                                           |     2
   6036 | Wei Wang  | Journal of Zhejiang University - Science C                                      |     3
   4040 | Wei Liu   | BHI                                                                             |     1
   6036 | Wei Wang  | MONET                                                                           |     2
   4040 | Wei Liu   | ICIC (3)                                                                        |     3
  21694 | Yan Zhang | GrC                                                                             |     1
   6036 | Wei Wang  | Computer Graphics International                                                 |     1
  21694 | Yan Zhang | ACNS                                                                            |     1
   6036 | Wei Wang  | International Journal of Parallel Programming                                   |     1
  21694 | Yan Zhang | CNS                                                                             |     1
  21694 | Yan Zhang | Telecommunication Systems                                                       |     1
  21694 | Yan Zhang | CVPR Workshops                                                                  |     1
  21694 | Yan Zhang | AICI (2)                                                                        |     3
   4040 | Wei Liu   | CVPR (2)                                                                        |     3
   6036 | Wei Wang  | CSSE (2)                                                                        |     1
  21694 | Yan Zhang | IET Wireless Sensor Systems                                                     |     1
   4040 | Wei Liu   | IEEE Transactions on Information Theory                                         |     2
  21694 | Yan Zhang | ICA                                                                             |     1
  21694 | Yan Zhang | IEEE Wireless Commun.                                                           |     5
   4040 | Wei Liu   | iThings/CPSCom                                                                  |     3
  21694 | Yan Zhang | Studia Logica                                                                   |     1
   6036 | Wei Wang  | ISR/ROBOTIK                                                                     |     1
   4040 | Wei Liu   | ICSI (2)                                                                        |     2
   4040 | Wei Liu   | IJMTM                                                                           |     1
   6036 | Wei Wang  | MCSS                                                                            |     1
   4040 | Wei Liu   | CyberC                                                                          |     1
   6036 | Wei Wang  | TrustCom/BigDataSE/ISPA (1)                                                     |     1
   4040 | Wei Liu   | Knowl. Inf. Syst.                                                               |     1
   6036 | Wei Wang  | Automatica                                                                      |     5
   6036 | Wei Wang  | EWSN                                                                            |     1
   6036 | Wei Wang  | J. Exp. Theor. Artif. Intell.                                                   |     2
   6036 | Wei Wang  | LREC                                                                            |     1
   6036 | Wei Wang  | IEEE T. Human-Machine Systems                                                   |     1
  21694 | Yan Zhang | Multimedia Syst.                                                                |     1
  21694 | Yan Zhang | WODES                                                                           |     1
   4040 | Wei Liu   | ICS                                                                             |     5
   6036 | Wei Wang  | PACIS                                                                           |     8
   4040 | Wei Liu   | IJCSE                                                                           |     1
  21694 | Yan Zhang | HPCA                                                                            |     1
  21694 | Yan Zhang | SoCC                                                                            |     1
   4040 | Wei Liu   | Bioinformatics                                                                  |     2
   4040 | Wei Liu   | ISC                                                                             |     1
  21694 | Yan Zhang | PRICAI                                                                          |     2
   4040 | Wei Liu   | Micromachines                                                                   |     1
   4040 | Wei Liu   | NIPS                                                                            |     2
  21694 | Yan Zhang | Neural Parallel&Scientific Comp.                                                |     1
   4040 | Wei Liu   | FSKD (3)                                                                        |     2
   6036 | Wei Wang  | NSPW                                                                            |     1
   6036 | Wei Wang  | GEM                                                                             |     1
  21694 | Yan Zhang | CSCWD (2)                                                                       |     1
   6036 | Wei Wang  | NSDI                                                                            |     1
   4040 | Wei Liu   | Comp. in Bio. and Med.                                                          |     2
   6036 | Wei Wang  | SIS                                                                             |     1
   4040 | Wei Liu   | WCNIS                                                                           |     1
   6036 | Wei Wang  | Security and Communication Networks                                             |     3
  21694 | Yan Zhang | KES (4)                                                                         |     2
   4040 | Wei Liu   | ICNSC                                                                           |     3
   6036 | Wei Wang  | ICC                                                                             |     8
  21694 | Yan Zhang | BuildSys@SenSys                                                                 |     1
   4040 | Wei Liu   | Computers&Mathematics with Applications                                         |     5
  21694 | Yan Zhang | ICPR (3)                                                                        |     1
  21694 | Yan Zhang | Computer Networks                                                               |     3
   6036 | Wei Wang  | HRI                                                                             |     1
   4040 | Wei Liu   | TBC                                                                             |     1
  21694 | Yan Zhang | LISA                                                                            |     1
   4040 | Wei Liu   | Expert Syst. Appl.                                                              |     3
   6036 | Wei Wang  | WPMC                                                                            |     3
   4040 | Wei Liu   | ISWS                                                                            |     1
   4040 | Wei Liu   | IEEE SCC                                                                        |     2
  21694 | Yan Zhang | ECAI                                                                            |     3
  21694 | Yan Zhang | ACSC                                                                            |     2
  21694 | Yan Zhang | ICONIP (2)                                                                      |     2
   6036 | Wei Wang  | ICIC (2)                                                                        |     2
   6036 | Wei Wang  | APWeb                                                                           |     1
   4040 | Wei Liu   | TOMCCAP                                                                         |     1
  21694 | Yan Zhang | KDD                                                                             |     1
   6036 | Wei Wang  | CSIE (3)                                                                        |     1
   6036 | Wei Wang  | Future Generation Comp. Syst.                                                   |     1
  21694 | Yan Zhang | COCOA                                                                           |     1
   4040 | Wei Liu   | NORCHIP                                                                         |     1
   6036 | Wei Wang  | SOFTVIS                                                                         |     1
   4040 | Wei Liu   | ICEBE                                                                           |     1
  21694 | Yan Zhang | ICEIS (4)                                                                       |     1
  21694 | Yan Zhang | SKG                                                                             |     1
  21694 | Yan Zhang | SACMAT                                                                          |     1
  21694 | Yan Zhang | GLOBECOM                                                                        |    17
   6036 | Wei Wang  | CCTA (1)                                                                        |     3
  21694 | Yan Zhang | JCIT                                                                            |     1
   6036 | Wei Wang  | IROS                                                                            |     7
   4040 | Wei Liu   | Computing and Informatics                                                       |     1
   6036 | Wei Wang  | Information Systems Frontiers                                                   |     1
  21694 | Yan Zhang | GCC                                                                             |     1
   6036 | Wei Wang  | IGARSS (2)                                                                      |     1
   4040 | Wei Liu   | PIMRC                                                                           |     4
   6036 | Wei Wang  | CVPR Workshops                                                                  |     2
   6036 | Wei Wang  | Behaviour&IT                                                                    |     1
   6036 | Wei Wang  | Telecommunication Systems                                                       |     2
   6036 | Wei Wang  | GrC                                                                             |     1
   4040 | Wei Liu   | EURASIP J. Adv. Sig. Proc.                                                      |     1
   6036 | Wei Wang  | MICCAI (3)                                                                      |     1
  21694 | Yan Zhang | INFOCOM                                                                         |     3
  21694 | Yan Zhang | Journal of Zhejiang University - Science C                                      |     1
   6036 | Wei Wang  | INFOCOM Workshops                                                               |     1
  21694 | Yan Zhang | MONET                                                                           |    12
  21694 | Yan Zhang | AMIA                                                                            |     2
   4040 | Wei Liu   | CISIS                                                                           |     1
   6036 | Wei Wang  | ICIS                                                                            |     4
  21694 | Yan Zhang | PACIS                                                                           |     1
  21694 | Yan Zhang | Frontiers of Computer Science                                                   |     2
   4040 | Wei Liu   | CDC                                                                             |     1
   4040 | Wei Liu   | ICFIE                                                                           |     1
   6036 | Wei Wang  | SoCC                                                                            |     1
   6036 | Wei Wang  | HPCA                                                                            |     1
   6036 | Wei Wang  | Journal of Intelligent and Fuzzy Systems                                        |     1
   4040 | Wei Liu   | IDAACS                                                                          |     1
   4040 | Wei Liu   | ICNC (1)                                                                        |     1
   6036 | Wei Wang  | CSSE (6)                                                                        |     1
   4040 | Wei Liu   | Cognition, Technology&Work                                                      |     1
   6036 | Wei Wang  | AINA (1)                                                                        |     1
   6036 | Wei Wang  | DASFAA (1)                                                                      |     1
  21694 | Yan Zhang | IEEE Transactions on Communications                                             |    10
   6036 | Wei Wang  | DMIN                                                                            |     1
   4040 | Wei Liu   | IEEE Trans. Med. Imaging                                                        |     1
